course_ref,subject_ref,requirement_type,minimum_grade
MMUOS-1741,ENG,COMPULSORY,C+
MMUOS-1741,KIS,ALTERNATIVE,C+
MMUOS-1741,MATH101,COMPULSORY,C
MMUOS-1741,GEO,OPTIONAL,C
GU-1758,ENG,COMPULSORY,C+
GU-1758,KIS,ALTERNATIVE,C+
GU-1758,MATH101,COMPULSORY,C
GU-1758,GEO,OPTIONAL,C
TUK-1764,ENG,COMPULSORY,C+
TUK-1764,KIS,ALTERNATIVE,C+
TUK-1764,MATH101,COMPULSORY,C
TUK-1764,GEO,OPTIONAL,C
KSU-1772,ENG,COMPULSORY,C+
KSU-1772,KIS,ALTERNATIVE,C+
KSU-1772,MATH101,COMPULSORY,C+
KSU-1772,BST,ALTERNATIVE,C+
GU-1778,ENG,COMPULSORY,C+
GU-1778,KIS,ALTERNATIVE,C+
GU-1778,MATH101,COMPULSORY,C+
GU-1778,BST,ALTERNATIVE,C+
CUK-1784,ENG,COMPULSORY,C+
CUK-1784,KIS,ALTERNATIVE,C+
CUK-1784,MATH101,COMPULSORY,C+
CUK-1784,BST,ALTERNATIVE,C+
MSU-1785,ENG,COMPULSORY,C+
MSU-1785,KIS,ALTERNATIVE,C+
MSU-1785,MATH101,COMPULSORY,C+
MSU-1785,COMP067,ALTERNATIVE,C+
MSU-1785,PHY,OPTIONAL,C
KSU-1803,ENG,COMPULSORY,C+
KSU-1803,KIS,ALTERNATIVE,C+
KSU-1803,MATH101,COMPULSORY,C
KSU-1803,GEO,OPTIONAL,C
SCU-1809,ENG,COMPULSORY,C+
SCU-1809,KIS,ALTERNATIVE,C+
SCU-1809,MATH101,COMPULSORY,C+
SCU-1809,BST,ALTERNATIVE,C+
RU-1815,ENG,COMPULSORY,C+
RU-1815,KIS,ALTERNATIVE,C+
RU-1815,MATH101,COMPULSORY,C+
RU-1815,BST,ALTERNATIVE,C+
JOOUS-1821,ENG,COMPULSORY,C+
JOOUS-1821,KIS,ALTERNATIVE,C+
JOOUS-1821,MATH101,COMPULSORY,C+
JOOUS-1821,BST,ALTERNATIVE,C+
TMU-1827,ENG,COMPULSORY,C+
TMU-1827,KIS,ALTERNATIVE,C+
TMU-1827,MATH101,COMPULSORY,C+
TMU-1827,BST,ALTERNATIVE,C+
TUM-1839,ENG,COMPULSORY,C+
TUM-1839,KIS,ALTERNATIVE,C+
TUM-1839,MATH101,COMPULSORY,C+
TUM-1839,BST,ALTERNATIVE,C+
JOOUS-1851,ENG,COMPULSORY,C+
JOOUS-1851,KIS,ALTERNATIVE,C+
JOOUS-1851,MATH101,COMPULSORY,C+
JOOUS-1851,COMP067,ALTERNATIVE,C+
JOOUS-1851,PHY,OPTIONAL,C
KSU-1858,ENG,COMPULSORY,C+
KSU-1858,KIS,ALTERNATIVE,C+
KSU-1858,HIS,ALTERNATIVE,C+
KSU-1858,GEO,OPTIONAL,C
RU-1865,ENG,COMPULSORY,C+
RU-1865,KIS,ALTERNATIVE,C+
RU-1865,HIS,ALTERNATIVE,C+
RU-1865,GEO,OPTIONAL,C
SPU-1872,ENG,COMPULSORY,C+
SPU-1872,KIS,ALTERNATIVE,C+
SPU-1872,HIS,ALTERNATIVE,C+
SPU-1872,GEO,OPTIONAL,C
TUM-1878,ENG,COMPULSORY,C+
TUM-1878,KIS,ALTERNATIVE,C+
TUM-1878,MATH101,COMPULSORY,C
TUM-1878,GEO,OPTIONAL,C
CHUKA-1885,ENG,COMPULSORY,C+
CHUKA-1885,KIS,ALTERNATIVE,C+
CHUKA-1885,MATH101,COMPULSORY,C
CHUKA-1885,GEO,OPTIONAL,C
RU-1892,ENG,COMPULSORY,C+
RU-1892,KIS,ALTERNATIVE,C+
RU-1892,MATH101,COMPULSORY,C
RU-1892,GEO,OPTIONAL,C
TUK-1899,ENG,COMPULSORY,C+
TUK-1899,KIS,ALTERNATIVE,C+
TUK-1899,MATH101,COMPULSORY,C
TUK-1899,GEO,OPTIONAL,C
MUT-1906,ENG,COMPULSORY,C+
MUT-1906,KIS,ALTERNATIVE,C+
MUT-1906,MATH101,COMPULSORY,C
MUT-1906,GEO,OPTIONAL,C
SCU-1913,ENG,COMPULSORY,C+
SCU-1913,KIS,ALTERNATIVE,C+
SCU-1913,MATH101,COMPULSORY,C
SCU-1913,GEO,OPTIONAL,C
KCA-1919,ENG,COMPULSORY,C+
KCA-1919,KIS,ALTERNATIVE,C+
KCA-1919,MATH101,COMPULSORY,C
KCA-1919,GEO,OPTIONAL,C
JOOUS-1924,ENG,COMPULSORY,C+
JOOUS-1924,KIS,ALTERNATIVE,C+
JOOUS-1924,MATH101,COMPULSORY,C
JOOUS-1924,GEO,OPTIONAL,C
TUM-1926,ENG,COMPULSORY,C+
TUM-1926,KIS,ALTERNATIVE,C+
TUM-1926,MATH101,COMPULSORY,C
TUM-1926,GEO,OPTIONAL,C
MSU-1933,ENG,COMPULSORY,C+
MSU-1933,KIS,ALTERNATIVE,C+
MSU-1933,MATH101,COMPULSORY,C
MSU-1933,GEO,OPTIONAL,C
KSU-1940,ENG,COMPULSORY,C+
KSU-1940,KIS,ALTERNATIVE,C+
KSU-1940,HIS,ALTERNATIVE,C+
KSU-1940,GEO,OPTIONAL,C
MSU-1942,ENG,COMPULSORY,C+
MSU-1942,KIS,ALTERNATIVE,C+
MSU-1942,MATH101,COMPULSORY,C+
MSU-1942,COMP067,ALTERNATIVE,C+
MSU-1942,PHY,OPTIONAL,C
MU-1948,ENG,COMPULSORY,C+
MU-1948,KIS,ALTERNATIVE,C+
MU-1948,HIS,ALTERNATIVE,C+
MU-1948,GEO,OPTIONAL,C
UOE-1952,ENG,COMPULSORY,C+
UOE-1952,KIS,ALTERNATIVE,C+
UOE-1952,MATH101,COMPULSORY,C+
UOE-1952,BST,ALTERNATIVE,C+
EU-1958,ENG,COMPULSORY,C+
EU-1958,KIS,ALTERNATIVE,C+
EU-1958,MATH101,COMPULSORY,C+
EU-1958,BST,ALTERNATIVE,C+
MKU-1959,ENG,COMPULSORY,C+
MKU-1959,KIS,ALTERNATIVE,C+
MKU-1959,MATH101,COMPULSORY,C+
MKU-1959,BST,ALTERNATIVE,C+
JKUAT-1965,ENG,COMPULSORY,C+
JKUAT-1965,KIS,ALTERNATIVE,C+
JKUAT-1965,MATH101,COMPULSORY,C+
JKUAT-1965,BST,ALTERNATIVE,C+
MUST-1966,ENG,COMPULSORY,C+
MUST-1966,KIS,ALTERNATIVE,C+
MUST-1966,MATH101,COMPULSORY,C+
MUST-1966,BST,ALTERNATIVE,C+
GU-1972,ENG,COMPULSORY,C+
GU-1972,KIS,ALTERNATIVE,C+
GU-1972,MATH101,COMPULSORY,C+
GU-1972,BST,ALTERNATIVE,C+
MU-1981,ENG,COMPULSORY,C+
MU-1981,KIS,ALTERNATIVE,C+
MU-1981,MATH101,COMPULSORY,C+
MU-1981,BST,ALTERNATIVE,C+
KU-1986,ENG,COMPULSORY,C+
KU-1986,KIS,ALTERNATIVE,C+
KU-1986,MATH101,COMPULSORY,C+
KU-1986,BST,ALTERNATIVE,C+
MUT-1991,ENG,COMPULSORY,C+
MUT-1991,KIS,ALTERNATIVE,C+
MUT-1991,MATH101,COMPULSORY,C+
MUT-1991,BST,ALTERNATIVE,C+
UOE-1997,ENG,COMPULSORY,C+
UOE-1997,KIS,ALTERNATIVE,C+
UOE-1997,MATH101,COMPULSORY,C+
UOE-1997,BST,ALTERNATIVE,C+
MMUOS-2003,ENG,COMPULSORY,C+
MMUOS-2003,KIS,ALTERNATIVE,C+
MMUOS-2003,MATH101,COMPULSORY,C+
MMUOS-2003,BST,ALTERNATIVE,C+
KSU-2009,ENG,COMPULSORY,C+
KSU-2009,KIS,ALTERNATIVE,C+
KSU-2009,MATH101,COMPULSORY,C+
KSU-2009,COMP067,ALTERNATIVE,C+
KSU-2009,PHY,OPTIONAL,C
GU-2015,ENG,COMPULSORY,C+
GU-2015,KIS,ALTERNATIVE,C+
GU-2015,MATH101,COMPULSORY,C+
GU-2015,COMP067,ALTERNATIVE,C+
GU-2015,PHY,OPTIONAL,C
SCU-2021,ENG,COMPULSORY,C+
SCU-2021,KIS,ALTERNATIVE,C+
SCU-2021,MATH101,COMPULSORY,C+
SCU-2021,COMP067,ALTERNATIVE,C+
SCU-2021,PHY,OPTIONAL,C
TUM-2027,ENG,COMPULSORY,C+
TUM-2027,KIS,ALTERNATIVE,C+
TUM-2027,HIS,ALTERNATIVE,C+
TUM-2027,GEO,OPTIONAL,C
KSU-2034,ENG,COMPULSORY,C+
KSU-2034,KIS,ALTERNATIVE,C+
KSU-2034,HIS,ALTERNATIVE,C+
KSU-2034,GEO,OPTIONAL,C
KCA-2041,ENG,COMPULSORY,C+
KCA-2041,KIS,ALTERNATIVE,C+
KCA-2041,HIS,ALTERNATIVE,C+
KCA-2041,GEO,OPTIONAL,C
MMUOS-2047,ENG,COMPULSORY,C+
MMUOS-2047,KIS,ALTERNATIVE,C+
MMUOS-2047,HIS,ALTERNATIVE,C+
MMUOS-2047,GEO,OPTIONAL,C
JOOUS-2048,ENG,COMPULSORY,C+
JOOUS-2048,KIS,ALTERNATIVE,C+
JOOUS-2048,HIS,ALTERNATIVE,C+
JOOUS-2048,GEO,OPTIONAL,C
TU-2054,ENG,COMPULSORY,C+
TU-2054,KIS,ALTERNATIVE,C+
TU-2054,HIS,ALTERNATIVE,C+
TU-2054,GEO,OPTIONAL,C
MU-2058,ENG,COMPULSORY,C+
MU-2058,KIS,ALTERNATIVE,C+
MU-2058,HIS,ALTERNATIVE,C+
MU-2058,GEO,OPTIONAL,C
TUC-2061,ENG,COMPULSORY,C+
TUC-2061,KIS,ALTERNATIVE,C+
TUC-2061,HIS,ALTERNATIVE,C+
TUC-2061,GEO,OPTIONAL,C
TMU-2062,ENG,COMPULSORY,C+
TMU-2062,KIS,ALTERNATIVE,C+
TMU-2062,MATH101,COMPULSORY,C+
TMU-2062,COMP067,ALTERNATIVE,C+
TMU-2062,PHY,OPTIONAL,C
MMUOS-2069,ENG,COMPULSORY,C+
MMUOS-2069,KIS,ALTERNATIVE,C+
MMUOS-2069,HIS,ALTERNATIVE,C+
MMUOS-2069,GEO,OPTIONAL,C
CHUKA-2076,ENG,COMPULSORY,C+
CHUKA-2076,KIS,ALTERNATIVE,C+
CHUKA-2076,HIS,ALTERNATIVE,C+
CHUKA-2076,GEO,OPTIONAL,C
TU-2083,ENG,COMPULSORY,C+
TU-2083,KIS,ALTERNATIVE,C+
TU-2083,HIS,ALTERNATIVE,C+
TU-2083,GEO,OPTIONAL,C
MKU-2089,ENG,COMPULSORY,C+
MKU-2089,KIS,ALTERNATIVE,C+
MKU-2089,MATH101,COMPULSORY,C+
MKU-2089,COMP067,ALTERNATIVE,C+
MKU-2089,PHY,OPTIONAL,C
UON-2090,ENG,COMPULSORY,C+
UON-2090,KIS,ALTERNATIVE,C+
UON-2090,HIS,ALTERNATIVE,C+
UON-2090,GEO,OPTIONAL,C
RU-2097,ENG,COMPULSORY,C+
RU-2097,KIS,ALTERNATIVE,C+
RU-2097,HIS,ALTERNATIVE,C+
RU-2097,GEO,OPTIONAL,C
KMU-2104,ENG,COMPULSORY,C+
KMU-2104,KIS,ALTERNATIVE,C+
KMU-2104,HIS,ALTERNATIVE,C+
KMU-2104,GEO,OPTIONAL,C
MUST-2110,ENG,COMPULSORY,C+
MUST-2110,KIS,ALTERNATIVE,C+
MUST-2110,HIS,ALTERNATIVE,C+
MUST-2110,GEO,OPTIONAL,C
MMU-2116,ENG,COMPULSORY,C+
MMU-2116,KIS,ALTERNATIVE,C+
MMU-2116,HIS,ALTERNATIVE,C+
MMU-2116,GEO,OPTIONAL,C
MU-2117,ENG,COMPULSORY,C+
MU-2117,KIS,ALTERNATIVE,C+
MU-2117,HIS,ALTERNATIVE,C+
MU-2117,GEO,OPTIONAL,C
UOE-2118,ENG,COMPULSORY,C+
UOE-2118,KIS,ALTERNATIVE,C+
UOE-2118,BIO,COMPULSORY,C+
UOE-2118,AGR,ALTERNATIVE,C+
UOE-2118,CHE,OPTIONAL,C
CHUKA-2122,ENG,COMPULSORY,C+
CHUKA-2122,KIS,ALTERNATIVE,C+
CHUKA-2122,MATH101,COMPULSORY,C
CHUKA-2122,GEO,OPTIONAL,C
JOOUS-2128,ENG,COMPULSORY,C+
JOOUS-2128,KIS,ALTERNATIVE,C+
JOOUS-2128,MATH101,COMPULSORY,C
JOOUS-2128,GEO,OPTIONAL,C
TMU-2139,ENG,COMPULSORY,C+
TMU-2139,KIS,ALTERNATIVE,C+
TMU-2139,MATH101,COMPULSORY,C+
TMU-2139,COMP067,ALTERNATIVE,C+
TMU-2139,PHY,OPTIONAL,C
UOE-2145,ENG,COMPULSORY,C+
UOE-2145,KIS,ALTERNATIVE,C+
UOE-2145,BIO,COMPULSORY,C+
UOE-2145,AGR,ALTERNATIVE,C+
UOE-2145,CHE,OPTIONAL,C
CUK-2151,ENG,COMPULSORY,C+
CUK-2151,KIS,ALTERNATIVE,C+
CUK-2151,MATH101,COMPULSORY,C+
CUK-2151,BST,ALTERNATIVE,C+
JOOUS-2157,ENG,COMPULSORY,C+
JOOUS-2157,KIS,ALTERNATIVE,C+
JOOUS-2157,MATH101,COMPULSORY,C+
JOOUS-2157,BST,ALTERNATIVE,C+
KU-2163,ENG,COMPULSORY,C+
KU-2163,KIS,ALTERNATIVE,C+
KU-2163,MATH101,COMPULSORY,C+
KU-2163,BST,ALTERNATIVE,C+
MUST-2169,ENG,COMPULSORY,C+
MUST-2169,KIS,ALTERNATIVE,C+
MUST-2169,MATH101,COMPULSORY,C+
MUST-2169,BST,ALTERNATIVE,C+
PU-2174,ENG,COMPULSORY,C+
PU-2174,KIS,ALTERNATIVE,C+
PU-2174,MATH101,COMPULSORY,C+
PU-2174,BST,ALTERNATIVE,C+
KU-2180,ENG,COMPULSORY,C+
KU-2180,KIS,ALTERNATIVE,C+
KU-2180,MATH101,COMPULSORY,C+
KU-2180,BST,ALTERNATIVE,C+
TMU-2181,ENG,COMPULSORY,C+
TMU-2181,KIS,ALTERNATIVE,C+
TMU-2181,MATH101,COMPULSORY,C+
TMU-2181,BST,ALTERNATIVE,C+
MSU-2187,ENG,COMPULSORY,C+
MSU-2187,KIS,ALTERNATIVE,C+
MSU-2187,MATH101,COMPULSORY,C+
MSU-2187,BST,ALTERNATIVE,C+
MU-2188,ENG,COMPULSORY,C+
MU-2188,KIS,ALTERNATIVE,C+
MU-2188,MATH101,COMPULSORY,C+
MU-2188,BST,ALTERNATIVE,C+
MMUOS-2194,ENG,COMPULSORY,C+
MMUOS-2194,KIS,ALTERNATIVE,C+
MMUOS-2194,BIO,COMPULSORY,C+
MMUOS-2194,CHE,COMPULSORY,C+
MMUOS-2194,MATH101,ALTERNATIVE,C+
KMU-2202,ENG,COMPULSORY,C+
KMU-2202,KIS,ALTERNATIVE,C+
KMU-2202,BIO,COMPULSORY,C+
KMU-2202,CHE,COMPULSORY,C+
KMU-2202,MATH101,ALTERNATIVE,C+
MU-2205,ENG,COMPULSORY,C+
MU-2205,KIS,ALTERNATIVE,C+
MU-2205,BIO,COMPULSORY,C+
MU-2205,CHE,COMPULSORY,C+
MU-2205,MATH101,ALTERNATIVE,C+
KU-2206,ENG,COMPULSORY,C+
KU-2206,KIS,ALTERNATIVE,C+
KU-2206,BIO,COMPULSORY,C+
KU-2206,CHE,COMPULSORY,C+
KU-2206,MATH101,ALTERNATIVE,C+
KSU-2207,ENG,COMPULSORY,C+
KSU-2207,KIS,ALTERNATIVE,C+
KSU-2207,MATH101,COMPULSORY,C
KSU-2207,GEO,OPTIONAL,C
GU-2214,ENG,COMPULSORY,C+
GU-2214,KIS,ALTERNATIVE,C+
GU-2214,MATH101,COMPULSORY,C
GU-2214,GEO,OPTIONAL,C
RU-2221,ENG,COMPULSORY,C+
RU-2221,KIS,ALTERNATIVE,C+
RU-2221,MATH101,COMPULSORY,C
RU-2221,GEO,OPTIONAL,C
TMU-2228,ENG,COMPULSORY,C+
TMU-2228,KIS,ALTERNATIVE,C+
TMU-2228,MATH101,COMPULSORY,C+
TMU-2228,COMP067,ALTERNATIVE,C+
TMU-2228,PHY,OPTIONAL,C
MSU-2229,ENG,COMPULSORY,C+
MSU-2229,KIS,ALTERNATIVE,C+
MSU-2229,MATH101,COMPULSORY,C+
MSU-2229,COMP067,ALTERNATIVE,C+
MSU-2229,PHY,OPTIONAL,C
KU-2235,ENG,COMPULSORY,C+
KU-2235,KIS,ALTERNATIVE,C+
KU-2235,MATH101,COMPULSORY,C
KU-2235,GEO,OPTIONAL,C
JKUAT-2242,ENG,COMPULSORY,C+
JKUAT-2242,KIS,ALTERNATIVE,C+
JKUAT-2242,MATH101,COMPULSORY,C
JKUAT-2242,GEO,OPTIONAL,C
EU-2249,ENG,COMPULSORY,C+
EU-2249,KIS,ALTERNATIVE,C+
EU-2249,MATH101,COMPULSORY,C+
EU-2249,COMP067,ALTERNATIVE,C+
EU-2249,PHY,OPTIONAL,C
KSU-2256,ENG,COMPULSORY,C+
KSU-2256,KIS,ALTERNATIVE,C+
KSU-2256,MATH101,COMPULSORY,C+
KSU-2256,COMP067,ALTERNATIVE,C+
KSU-2256,PHY,OPTIONAL,C
UON-2262,ENG,COMPULSORY,C+
UON-2262,KIS,ALTERNATIVE,C+
UON-2262,MATH101,COMPULSORY,C+
UON-2262,COMP067,ALTERNATIVE,C+
UON-2262,PHY,OPTIONAL,C
KU-2269,ENG,COMPULSORY,C+
KU-2269,KIS,ALTERNATIVE,C+
KU-2269,MATH101,COMPULSORY,C+
KU-2269,COMP067,ALTERNATIVE,C+
KU-2269,PHY,OPTIONAL,C
TMU-2276,ENG,COMPULSORY,C+
TMU-2276,KIS,ALTERNATIVE,C+
TMU-2276,MATH101,COMPULSORY,C+
TMU-2276,COMP067,ALTERNATIVE,C+
TMU-2276,PHY,OPTIONAL,C
MSU-2281,ENG,COMPULSORY,C+
MSU-2281,KIS,ALTERNATIVE,C+
MSU-2281,MATH101,COMPULSORY,C+
MSU-2281,COMP067,ALTERNATIVE,C+
MSU-2281,PHY,OPTIONAL,C
MMU-2282,ENG,COMPULSORY,C+
MMU-2282,KIS,ALTERNATIVE,C+
MMU-2282,MATH101,COMPULSORY,C+
MMU-2282,COMP067,ALTERNATIVE,C+
MMU-2282,PHY,OPTIONAL,C
CHUKA-2285,ENG,COMPULSORY,C+
CHUKA-2285,KIS,ALTERNATIVE,C+
CHUKA-2285,BIO,COMPULSORY,C+
CHUKA-2285,CHE,COMPULSORY,C+
CHUKA-2285,MATH101,ALTERNATIVE,C+
EU-2292,ENG,COMPULSORY,C+
EU-2292,KIS,ALTERNATIVE,C+
EU-2292,BIO,COMPULSORY,C+
EU-2292,CHE,COMPULSORY,C+
EU-2292,MATH101,ALTERNATIVE,C+
KSU-2299,ENG,COMPULSORY,C+
KSU-2299,KIS,ALTERNATIVE,C+
KSU-2299,BIO,COMPULSORY,C+
KSU-2299,CHE,COMPULSORY,C+
KSU-2299,MATH101,ALTERNATIVE,C+
TUK-2306,ENG,COMPULSORY,C+
TUK-2306,KIS,ALTERNATIVE,C+
TUK-2306,MATH101,COMPULSORY,C
TUK-2306,GEO,OPTIONAL,C
MMUOS-2318,ENG,COMPULSORY,C+
MMUOS-2318,KIS,ALTERNATIVE,C+
MMUOS-2318,BIO,COMPULSORY,C+
MMUOS-2318,CHE,COMPULSORY,C+
MMUOS-2318,MATH101,ALTERNATIVE,C+
KSU-2325,ENG,COMPULSORY,C+
KSU-2325,KIS,ALTERNATIVE,C+
KSU-2325,BIO,COMPULSORY,C+
KSU-2325,CHE,COMPULSORY,C+
KSU-2325,MATH101,ALTERNATIVE,C+
UON-2332,ENG,COMPULSORY,C+
UON-2332,KIS,ALTERNATIVE,C+
UON-2332,BIO,COMPULSORY,C+
UON-2332,CHE,COMPULSORY,C+
UON-2332,MATH101,ALTERNATIVE,C+
MSU-2339,ENG,COMPULSORY,C+
MSU-2339,KIS,ALTERNATIVE,C+
MSU-2339,MATH101,COMPULSORY,C+
MSU-2339,COMP067,ALTERNATIVE,C+
MSU-2339,PHY,OPTIONAL,C
AU-2346,ENG,COMPULSORY,C+
AU-2346,KIS,ALTERNATIVE,C+
AU-2346,BIO,COMPULSORY,C+
AU-2346,CHE,COMPULSORY,C+
AU-2346,MATH101,ALTERNATIVE,C+
MMUOS-2353,ENG,COMPULSORY,C+
MMUOS-2353,KIS,ALTERNATIVE,C+
MMUOS-2353,BIO,COMPULSORY,C+
MMUOS-2353,CHE,COMPULSORY,C+
MMUOS-2353,MATH101,ALTERNATIVE,C+
JKUAT-2360,ENG,COMPULSORY,C+
JKUAT-2360,KIS,ALTERNATIVE,C+
JKUAT-2360,MATH101,COMPULSORY,C
JKUAT-2360,GEO,OPTIONAL,C
CHUKA-2367,ENG,COMPULSORY,C+
CHUKA-2367,KIS,ALTERNATIVE,C+
CHUKA-2367,MATH101,COMPULSORY,C+
CHUKA-2367,BST,ALTERNATIVE,C+
KSU-2373,ENG,COMPULSORY,C+
KSU-2373,KIS,ALTERNATIVE,C+
KSU-2373,MATH101,COMPULSORY,C+
KSU-2373,BST,ALTERNATIVE,C+
KCA-2385,ENG,COMPULSORY,C+
KCA-2385,KIS,ALTERNATIVE,C+
KCA-2385,MATH101,COMPULSORY,C+
KCA-2385,BST,ALTERNATIVE,C+
UOE-2389,ENG,COMPULSORY,C+
UOE-2389,KIS,ALTERNATIVE,C+
UOE-2389,MATH101,COMPULSORY,C+
UOE-2389,BST,ALTERNATIVE,C+
KU-2391,ENG,COMPULSORY,C+
KU-2391,KIS,ALTERNATIVE,C+
KU-2391,MATH101,COMPULSORY,C+
KU-2391,BST,ALTERNATIVE,C+
UON-2392,ENG,COMPULSORY,C+
UON-2392,KIS,ALTERNATIVE,C+
UON-2392,MATH101,COMPULSORY,C+
UON-2392,BST,ALTERNATIVE,C+
CHUKA-2393,ENG,COMPULSORY,C+
CHUKA-2393,KIS,ALTERNATIVE,C+
CHUKA-2393,MATH101,COMPULSORY,C+
CHUKA-2393,BST,ALTERNATIVE,C+
EU-2399,ENG,COMPULSORY,C+
EU-2399,KIS,ALTERNATIVE,C+
EU-2399,MATH101,COMPULSORY,C+
EU-2399,BST,ALTERNATIVE,C+
CUK-2400,ENG,COMPULSORY,C+
CUK-2400,KIS,ALTERNATIVE,C+
CUK-2400,MATH101,COMPULSORY,C+
CUK-2400,BST,ALTERNATIVE,C+
TU-2404,ENG,COMPULSORY,C+
TU-2404,KIS,ALTERNATIVE,C+
TU-2404,MATH101,COMPULSORY,C+
TU-2404,BST,ALTERNATIVE,C+
CUK-2410,ENG,COMPULSORY,C+
CUK-2410,KIS,ALTERNATIVE,C+
CUK-2410,MATH101,COMPULSORY,C+
CUK-2410,BST,ALTERNATIVE,C+
CHUKA-2417,ENG,COMPULSORY,C+
CHUKA-2417,KIS,ALTERNATIVE,C+
CHUKA-2417,MATH101,COMPULSORY,C+
CHUKA-2417,BST,ALTERNATIVE,C+
KCA-2418,ENG,COMPULSORY,C+
KCA-2418,KIS,ALTERNATIVE,C+
KCA-2418,MATH101,COMPULSORY,C+
KCA-2418,BST,ALTERNATIVE,C+
EU-2424,ENG,COMPULSORY,C+
EU-2424,KIS,ALTERNATIVE,C+
EU-2424,MATH101,COMPULSORY,C+
EU-2424,PHY,COMPULSORY,C+
EU-2424,COMP067,OPTIONAL,C
CHUKA-2431,ENG,COMPULSORY,C+
CHUKA-2431,KIS,ALTERNATIVE,C+
CHUKA-2431,BIO,COMPULSORY,C+
CHUKA-2431,AGR,ALTERNATIVE,C+
CHUKA-2431,CHE,OPTIONAL,C
EU-2437,ENG,COMPULSORY,C+
EU-2437,KIS,ALTERNATIVE,C+
EU-2437,BIO,COMPULSORY,C+
EU-2437,AGR,ALTERNATIVE,C+
EU-2437,CHE,OPTIONAL,C
KSU-2444,ENG,COMPULSORY,C+
KSU-2444,KIS,ALTERNATIVE,C+
KSU-2444,BIO,COMPULSORY,C+
KSU-2444,AGR,ALTERNATIVE,C+
KSU-2444,CHE,OPTIONAL,C
KU-2450,ENG,COMPULSORY,C+
KU-2450,KIS,ALTERNATIVE,C+
KU-2450,BIO,COMPULSORY,C+
KU-2450,AGR,ALTERNATIVE,C+
KU-2450,CHE,OPTIONAL,C
CUK-2451,ENG,COMPULSORY,C+
CUK-2451,KIS,ALTERNATIVE,C+
CUK-2451,BIO,COMPULSORY,C+
CUK-2451,AGR,ALTERNATIVE,C+
CUK-2451,CHE,OPTIONAL,C
MU-2455,ENG,COMPULSORY,C+
MU-2455,KIS,ALTERNATIVE,C+
MU-2455,BIO,COMPULSORY,C+
MU-2455,AGR,ALTERNATIVE,C+
MU-2455,CHE,OPTIONAL,C
UOE-2461,ENG,COMPULSORY,C+
UOE-2461,KIS,ALTERNATIVE,C+
UOE-2461,BIO,COMPULSORY,C+
UOE-2461,AGR,ALTERNATIVE,C+
UOE-2461,CHE,OPTIONAL,C
TMU-2467,ENG,COMPULSORY,C+
TMU-2467,KIS,ALTERNATIVE,C+
TMU-2467,MATH101,COMPULSORY,C+
TMU-2467,COMP067,ALTERNATIVE,C+
TMU-2467,PHY,OPTIONAL,C
MSU-2473,ENG,COMPULSORY,C+
MSU-2473,KIS,ALTERNATIVE,C+
MSU-2473,MATH101,COMPULSORY,C+
MSU-2473,COMP067,ALTERNATIVE,C+
MSU-2473,PHY,OPTIONAL,C
KU-2474,ENG,COMPULSORY,C+
KU-2474,KIS,ALTERNATIVE,C+
KU-2474,BIO,COMPULSORY,C+
KU-2474,AGR,ALTERNATIVE,C+
KU-2474,CHE,OPTIONAL,C
MU-2479,ENG,COMPULSORY,C+
MU-2479,KIS,ALTERNATIVE,C+
MU-2479,MATH101,COMPULSORY,C+
MU-2479,COMP067,ALTERNATIVE,C+
MU-2479,PHY,OPTIONAL,C
MMU-2484,ENG,COMPULSORY,C+
MMU-2484,KIS,ALTERNATIVE,C+
MMU-2484,BIO,COMPULSORY,C+
MMU-2484,AGR,ALTERNATIVE,C+
MMU-2484,CHE,OPTIONAL,C
TUC-2489,ENG,COMPULSORY,C+
TUC-2489,KIS,ALTERNATIVE,C+
TUC-2489,BIO,COMPULSORY,C+
TUC-2489,AGR,ALTERNATIVE,C+
TUC-2489,CHE,OPTIONAL,C
MU-2493,ENG,COMPULSORY,C+
MU-2493,KIS,ALTERNATIVE,C+
MU-2493,BIO,COMPULSORY,C+
MU-2493,AGR,ALTERNATIVE,C+
MU-2493,CHE,OPTIONAL,C
KU-2498,ENG,COMPULSORY,C+
KU-2498,KIS,ALTERNATIVE,C+
KU-2498,BIO,COMPULSORY,C+
KU-2498,AGR,ALTERNATIVE,C+
KU-2498,CHE,OPTIONAL,C
RU-2499,ENG,COMPULSORY,C+
RU-2499,KIS,ALTERNATIVE,C+
RU-2499,MATH101,COMPULSORY,C+
RU-2499,BST,ALTERNATIVE,C+
MMUOS-2505,ENG,COMPULSORY,C+
MMUOS-2505,KIS,ALTERNATIVE,C+
MMUOS-2505,MATH101,COMPULSORY,C+
MMUOS-2505,BST,ALTERNATIVE,C+
TUC-2511,ENG,COMPULSORY,C+
TUC-2511,KIS,ALTERNATIVE,C+
TUC-2511,MATH101,COMPULSORY,C+
TUC-2511,BST,ALTERNATIVE,C+
KU-2516,ENG,COMPULSORY,C+
KU-2516,KIS,ALTERNATIVE,C+
KU-2516,BIO,COMPULSORY,C+
KU-2516,AGR,ALTERNATIVE,C+
KU-2516,CHE,OPTIONAL,C
MU-2527,ENG,COMPULSORY,C+
MU-2527,KIS,ALTERNATIVE,C+
MU-2527,MATH101,COMPULSORY,C+
MU-2527,BST,ALTERNATIVE,C+
CHUKA-2528,ENG,COMPULSORY,C+
CHUKA-2528,KIS,ALTERNATIVE,C+
