code,title,slug,description,qualification,career,institution,duration_years,career_code
MU-2205,BACHELOR OF SCIENCE (ENVIRONMENTAL HEALTH),bachelor-of-science-environmental-health-mu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Environmental Health), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Environmental Health),MOI UNIVERSITY,4,CAR-146
KU-2206,BACHELOR OF SCIENCE (ENVIRONMENTAL HEALTH),bachelor-of-science-environmental-health-ku,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Environmental Health), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Environmental Health),KENYATTA UNIVERSITY,4,CAR-146
KSU-2207,BACHELOR OF HUMAN RESOURCE MANAGEMENT,bachelor-of-human-resource-management-ksu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Human Resource Management, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Human Resource Management,KISII UNIVERSITY,4,CAR-126
GU-2214,BACHELOR OF SCIENCE (HUMAN RESOURCE MANAGEMENT),bachelor-of-science-human-resource-management-gu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Human Resource Management), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Human Resource Management),GARISSA UNIVERSITY,4,CAR-126
RU-2221,BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,bachelor-of-science-in-human-reource-management-ru,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Human Reource Management, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Human Reource Management,RONGO UNIVERSITY,4,CAR-126
TMU-2228,"BACHELOR OF SCIENCE IN HUMAN RESOURCE MANAGEMENT, WITH IT",bachelor-of-science-in-human-resource-management-with-it-tmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Human Resource Management, With It, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in Human Resource Management, With It",TOM MBOYA UNIVERSITY,4,CAR-101
MSU-2229,"BACHELOR OF SCIENCE IN HUMAN RESOURCE MANAGEMENT, WITH IT",bachelor-of-science-in-human-resource-management-with-it-msu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Human Resource Management, With It, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in Human Resource Management, With It",MASENO UNIVERSITY,4,CAR-101
KU-2235,BACHELOR OF HUMAN RESOURCES MANAGEMENT,bachelor-of-human-resources-management-ku,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Human Resources Management, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Human Resources Management,KARATINA UNIVERSITY,4,CAR-126
JKUAT-2242,BACHELOR OF SCIENCE IN HUMAN RESOURCE MANAGEMENT,bachelor-of-science-in-human-resource-management-jkuat,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Human Resource Management, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Human Resource Management,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,4,CAR-126
EU-2249,BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS),bachelor-of-science-food-nutrition-dietetics-eu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Food Nutrition & Dietetics), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Food Nutrition & Dietetics),EGERTON UNIVERSITY,4,CAR-101
KSU-2256,BACHELOR OF SCIENCE IN FOOD NUTRITION AND DIETETICS,bachelor-of-science-in-food-nutrition-and-dietetics-ksu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Food Nutrition And Dietetics, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Food Nutrition And Dietetics,KISII UNIVERSITY,4,CAR-101
UON-2262,BACHELOR OF SCIENCE (FOOD NUTRITION AND DIETETICS),bachelor-of-science-food-nutrition-and-dietetics-uon,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Food Nutrition And Dietetics), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Food Nutrition And Dietetics),UNIVERSITY OF NAIROBI,4,CAR-101
KU-2269,"BACHELOR OF SCIENCE (FOOD, NUTRITION & DIETETICS)",bachelor-of-science-food-nutrition-dietetics-ku,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Food, Nutrition & Dietetics), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Food, Nutrition & Dietetics)",KENYATTA UNIVERSITY,4,CAR-101
TMU-2276,"BACHELOR OF SCIENCE (NUTRITION AND DIETETICS, WITH IT)",bachelor-of-science-nutrition-and-dietetics-with-it-tmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Nutrition And Dietetics, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Nutrition And Dietetics, With It)",TOM MBOYA UNIVERSITY,4,CAR-101
MSU-2281,"BACHELOR OF SCIENCE (NUTRITION AND DIETETICS, WITH IT)",bachelor-of-science-nutrition-and-dietetics-with-it-msu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Nutrition And Dietetics, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Nutrition And Dietetics, With It)",MASENO UNIVERSITY,4,CAR-101
MMU-2282,"BACHELOR OF SCIENCE IN FOOD, NUTRITION AND DIETETICS",bachelor-of-science-in-food-nutrition-and-dietetics-mmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Food, Nutrition And Dietetics, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in Food, Nutrition And Dietetics",MAASAI MARA UNIVERSITY,4,CAR-101
CHUKA-2285,BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY),bachelor-of-science-biomedical-science-and-technology-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Biomedical Science And Technology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Biomedical Science And Technology),CHUKA UNIVERSITY,4,CAR-147
EU-2292,BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE & TECHNOLOGY),bachelor-of-science-biomedical-science-technology-eu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Biomedical Science & Technology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Biomedical Science & Technology),EGERTON UNIVERSITY,4,CAR-148
KSU-2299,BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES & TECHNOLOGY,bachelor-of-science-in-biomedical-sciences-technology-ksu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Biomedical Sciences & Technology, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Biomedical Sciences & Technology,KISII UNIVERSITY,4,CAR-149
TUK-2306,BACHELOR OF TECHNOLOGY (SCIENCE LABORATORY TECHNOLOGY),bachelor-of-technology-science-laboratory-technology-tuk,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Technology (Science Laboratory Technology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Technology (Science Laboratory Technology),THE TECHNICAL UNIVERSITY OF KENYA,4,CAR-150
MMUOS-2318,BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCES),bachelor-of-science-medical-laboratory-sciences-mmuos,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Medical Laboratory Sciences), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Medical Laboratory Sciences),MASINDE MULIRO UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,CAR-152
KSU-2325,BACHELOR OF SCIENCE IN MEDICAL LABORATORY SCIENCES,bachelor-of-science-in-medical-laboratory-sciences-ksu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Medical Laboratory Sciences, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Medical Laboratory Sciences,KISII UNIVERSITY,4,CAR-152
UON-2332,BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY),bachelor-of-science-medical-laboratory-science-technology-uon,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Medical Laboratory Science & Technology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Medical Laboratory Science & Technology),UNIVERSITY OF NAIROBI,4,CAR-152
MSU-2339,"BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCES, WITH IT)",bachelor-of-science-medical-laboratory-sciences-with-it-msu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Medical Laboratory Sciences, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Medical Laboratory Sciences, With It)",MASENO UNIVERSITY,4,CAR-101
AU-2346,BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE),bachelor-of-science-medical-laboratory-science-au,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Medical Laboratory Science), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Medical Laboratory Science),ALUPE UNIVERSITY,4,CAR-152
MMUOS-2353,BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY),bachelor-of-science-occupational-health-safety-mmuos,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Occupational Health & Safety), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Occupational Health & Safety),MASINDE MULIRO UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,CAR-153
JKUAT-2360,BACHELOR OF SCIENCE IN OCCUPATIONAL THERAPY,bachelor-of-science-in-occupational-therapy-jkuat,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Occupational Therapy, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Occupational Therapy,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,4,CAR-154
CHUKA-2367,BACHELOR OF ARTS (ECONOMICS & SOCIOLOGY),bachelor-of-arts-economics-sociology-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Arts (Economics & Sociology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Economics & Sociology),CHUKA UNIVERSITY,4,CAR-132
KSU-2373,BACHELOR OF ARTS (ECONOMICS AND SOCIOLOGY),bachelor-of-arts-economics-and-sociology-ksu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Arts (Economics And Sociology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Economics And Sociology),KISII UNIVERSITY,4,CAR-132
KCA-2385,BACHELOR OF ECONOMICS AND STATISTICS,bachelor-of-economics-and-statistics-kca,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Economics And Statistics, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Economics And Statistics,KCA UNIVERSITY,4,CAR-132
UOE-2389,BACHELOR OF ECONOMICS AND STATISTICS,bachelor-of-economics-and-statistics-uoe,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Economics And Statistics, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Economics And Statistics,UNIVERSITY OF EMBU,4,CAR-132
KU-2391,BACHELOR OF ECONOMICS & STATISTICS,bachelor-of-economics-statistics-ku,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Economics & Statistics, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Economics & Statistics,KENYATTA UNIVERSITY,4,CAR-132
UON-2392,BACHELOR OF ECONOMICS AND STATISTICS,bachelor-of-economics-and-statistics-uon,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Economics And Statistics, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Economics And Statistics,UNIVERSITY OF NAIROBI,4,CAR-132
CHUKA-2393,BACHELOR OF SCIENCE (ECONOMICS & STATISTICS),bachelor-of-science-economics-statistics-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Economics & Statistics), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Economics & Statistics),CHUKA UNIVERSITY,4,CAR-132
EU-2399,BACHELOR OF SCIENCE (ECONOMICS & STATISTICS),bachelor-of-science-economics-statistics-eu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Economics & Statistics), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Economics & Statistics),EGERTON UNIVERSITY,4,CAR-132
CUK-2400,BACHELOR OF SCIENCE IN APPLIED STATISTICS AND ECONOMICS,bachelor-of-science-in-applied-statistics-and-economics-cuk,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Applied Statistics And Economics, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Applied Statistics And Economics,THE CO-OPERATIVE UNIVERSITY OF KENYA,4,CAR-132
TU-2404,BACHELOR OF SCIENCE (ECONOMICS AND STATISTICS),bachelor-of-science-economics-and-statistics-tu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Economics And Statistics), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Economics And Statistics),THARAKA UNIVERSITY,4,CAR-132
CUK-2410,BACHELOR OF BUSINESS AND INFORMATION TECHNOLOGY,bachelor-of-business-and-information-technology-cuk,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Business And Information Technology, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Business And Information Technology,THE CO-OPERATIVE UNIVERSITY OF KENYA,4,CAR-101
CHUKA-2417,BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,bachelor-of-business-information-technology-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Business Information Technology, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Business Information Technology,CHUKA UNIVERSITY,4,CAR-101
KCA-2418,BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,bachelor-of-business-information-technology-kca,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Business Information Technology, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Business Information Technology,KCA UNIVERSITY,4,CAR-101
EU-2424,BACHELOR OF SCIENCE (MANUFACTURING ENGINEERING & TECHNOLOGY),bachelor-of-science-manufacturing-engineering-technology-eu,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science (Manufacturing Engineering & Technology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Manufacturing Engineering & Technology),EGERTON UNIVERSITY,5,CAR-155
CHUKA-2431,BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),bachelor-of-science-environmental-science-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Environmental Science), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Environmental Science),CHUKA UNIVERSITY,4,CAR-143
EU-2437,BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCES),bachelor-of-science-environmental-sciences-eu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Environmental Sciences), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Environmental Sciences),EGERTON UNIVERSITY,4,CAR-143
KSU-2444,BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,bachelor-of-science-in-environmental-science-ksu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Environmental Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Environmental Science,KISII UNIVERSITY,4,CAR-143
KU-2450,BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,bachelor-of-science-in-environmental-science-ku,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Environmental Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Environmental Science,KABARAK UNIVERSITY,4,CAR-143
CUK-2451,BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,bachelor-of-science-in-environmental-science-and-technology-cuk,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Environmental Science And Technology, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Environmental Science And Technology,THE CO-OPERATIVE UNIVERSITY OF KENYA,4,CAR-143
MU-2455,BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,bachelor-of-science-in-environmental-science-mu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Environmental Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Environmental Science,MOI UNIVERSITY,4,CAR-143
UOE-2461,BACHELOR OF ENVIRONMENTAL STUDIES (SCIENCE),bachelor-of-environmental-studies-science-uoe,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Environmental Studies (Science), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Environmental Studies (Science),UNIVERSITY OF ELDORET,4,CAR-143
TMU-2467,"BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE, WITH IT)",bachelor-of-science-environmental-science-with-it-tmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Environmental Science, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Environmental Science, With It)",TOM MBOYA UNIVERSITY,4,CAR-101
MSU-2473,"BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE, WITH IT)",bachelor-of-science-environmental-science-with-it-msu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Environmental Science, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Environmental Science, With It)",MASENO UNIVERSITY,4,CAR-101
KU-2474,BACHELOR OF SCIENCE IN ENVIRONMENTAL STUDIES,bachelor-of-science-in-environmental-studies-ku,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Environmental Studies, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Environmental Studies,KARATINA UNIVERSITY,4,CAR-143
MU-2479,BACHELOR OF ENVIRONMENTAL STUDIES (COMMUNITY DEVELOPMENT),bachelor-of-environmental-studies-community-development-mu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Environmental Studies (Community Development), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Environmental Studies (Community Development),MACHAKOS UNIVERSITY,4,CAR-101
MMU-2484,BACHELOR OF SCIENCE(ENVIRONMENTAL STUDIES),bachelor-of-scienceenvironmental-studies-mmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science(Environmental Studies), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Environmental Studies),MAASAI MARA UNIVERSITY,4,CAR-143
TUC-2489,BACHELOR OF ENVIRONMENTAL SCIENCE,bachelor-of-environmental-science-tuc,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Environmental Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Environmental Science,TURKANA UNIVERSITY COLLEGE,4,CAR-143
MU-2493,BACHELOR OF ENVIRONMENTAL SCIENCE,bachelor-of-environmental-science-mu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Environmental Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Environmental Science,MACHAKOS UNIVERSITY,4,CAR-143
KU-2498,BACHELOR OF ENVIRONMENTAL SCIENCE,bachelor-of-environmental-science-ku,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Environmental Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Environmental Science,KENYATTA UNIVERSITY,4,CAR-143
RU-2499,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT),bachelor-of-science-agricultural-economics-resource-management-ru,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Agricultural Economics & Resource Management), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agricultural Economics & Resource Management),RONGO UNIVERSITY,4,CAR-132
MMUOS-2505,BACHELOR OF SCIENCE (AGRICULTURE ECONOMICS & RESOURCE MANAGEMENT),bachelor-of-science-agriculture-economics-resource-management-mmuos,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Agriculture Economics & Resource Management), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agriculture Economics & Resource Management),MASINDE MULIRO UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,CAR-132
TUC-2511,BACHELOR OF SCIENCE ( AGRICULTURAL ECONOMICS AND RESOURCE MANAGEMENT),bachelor-of-science-agricultural-economics-and-resource-management-tuc,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science ( Agricultural Economics And Resource Management), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in ( Agricultural Economics And Resource Management),TURKANA UNIVERSITY COLLEGE,4,CAR-132
KU-2516,BACHELOR OF SCIENCE (AGRICULTURAL RESOURCE MANAGEMENT),bachelor-of-science-agricultural-resource-management-ku,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Agricultural Resource Management), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agricultural Resource Management),KENYATTA UNIVERSITY,4,CAR-117
MU-2527,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS AND RESOURCE MANAGEMENT),bachelor-of-science-agricultural-economics-and-resource-management-mu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Agricultural Economics And Resource Management), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agricultural Economics And Resource Management),MOI UNIVERSITY,4,CAR-132
CHUKA-2528,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS),bachelor-of-science-agricultural-economics-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Agricultural Economics), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agricultural Economics),CHUKA UNIVERSITY,4,CAR-132
EU-2534,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS),bachelor-of-science-agricultural-economics-eu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Agricultural Economics), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agricultural Economics),EGERTON UNIVERSITY,4,CAR-132
KSU-2535,BACHELOR OF SCIENCE IN AGRICULTURAL ECONOMICS,bachelor-of-science-in-agricultural-economics-ksu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Agricultural Economics, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Agricultural Economics,KISII UNIVERSITY,4,CAR-132
CUK-2539,BACHELOR OF AGRICULTURAL ECONOMICS AND MARKETING,bachelor-of-agricultural-economics-and-marketing-cuk,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Agricultural Economics And Marketing, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Agricultural Economics And Marketing,THE CO-OPERATIVE UNIVERSITY OF KENYA,4,CAR-132
LU-2542,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS,bachelor-of-science-agricultural-economics-lu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Agricultural Economics, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agricultural Economics,LAIKIPIA UNIVERSITY,4,CAR-132
TMU-2548,"BACHELOR OF SCIENCE ( AGRICULTURAL ECONOMICS, WITH IT)",bachelor-of-science-agricultural-economics-with-it-tmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science ( Agricultural Economics, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in ( Agricultural Economics, With It)",TOM MBOYA UNIVERSITY,4,CAR-132
EU-2554,BACHELOR OF SCIENCE (CLOTHING TEXTILE & INTERIOR DESIGN),bachelor-of-science-clothing-textile-interior-design-eu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Clothing Textile & Interior Design), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Clothing Textile & Interior Design),EGERTON UNIVERSITY,4,CAR-156
MSU-2567,"BACHELOR OF ARTS (TEXTILE, FASHION DESIGN AND MERCHANDISING, WITH IT)",bachelor-of-arts-textile-fashion-design-and-merchandising-with-it-msu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Arts (Textile, Fashion Design And Merchandising, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Textile, Fashion Design And Merchandising, With It)",MASENO UNIVERSITY,4,CAR-101
SEKU-2573,BACHELOR OF SCIENCE IN TEXTILE TECHNOLOGY & APPLIED FASHION DESIGN,bachelor-of-science-in-textile-technology-applied-fashion-design-seku,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Textile Technology & Applied Fashion Design, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Textile Technology & Applied Fashion Design,SOUTH EASTERN KENYA UNIVERSITY,4,CAR-158
KU-2577,BACHELOR OF SCIENCE (FASHION DESIGN & MARKETING),bachelor-of-science-fashion-design-marketing-ku,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Fashion Design & Marketing), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Fashion Design & Marketing),KENYATTA UNIVERSITY,4,CAR-126
MU-2584,BACHELOR OF SCIENCE IN FASHION DESIGN AND MARKETING,bachelor-of-science-in-fashion-design-and-marketing-mu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Fashion Design And Marketing, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Fashion Design And Marketing,MACHAKOS UNIVERSITY,4,CAR-126
UOE-2590,BACHELOR OF SCIENCE (APPAREL & FASHION TECHNOLOGY),bachelor-of-science-apparel-fashion-technology-uoe,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Apparel & Fashion Technology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Apparel & Fashion Technology),UNIVERSITY OF ELDORET,4,CAR-159
SCU-2596,BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT,bachelor-of-hospitality-and-tourism-management-scu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Hospitality And Tourism Management, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Hospitality And Tourism Management,SCOTT CHRISTIAN UNIVERSITY,4,CAR-101
GU-2602,BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),bachelor-of-science-hospitality-and-tourism-management-gu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Hospitality And Tourism Management), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Hospitality And Tourism Management),GRETSA UNIVERSITY,4,CAR-101
KMU-2604,BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),bachelor-of-science-hospitality-and-tourism-management-kmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Hospitality And Tourism Management), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Hospitality And Tourism Management),KENYA METHODIST UNIVERSITY,4,CAR-101
MMUOS-2608,BACHELOR OF HOSPITALITY AND INSTITUTIONAL MANAGEMENT,bachelor-of-hospitality-and-institutional-management-mmuos,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Hospitality And Institutional Management, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Hospitality And Institutional Management,MASINDE MULIRO UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,CAR-101
